entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1545	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Muller cells	"DKK3, SOX9"	Muller glia cells	Organoids	Brain	32051547	Molecular Psychiatry	Glial cell diversity and methamphetamine-induced neuroinflflammation in Human cerebral organoids	NA
1546	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	LTMR	Induced sensory neurons	Cell line	Brain	31968264	Cell Rep	Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells	GSE139409
1547	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	LTMR	Induced sensory neurons	Cell line	Brain	31968264	Cell Rep	Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells	GSE139409
1548	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	LTMR	Induced sensory neurons	Cell line	Brain	31968264	Cell Rep	Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells	GSE139409
1549	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	LTMR	Induced sensory neurons	Cell line	Brain	31968264	Cell Rep	Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells	GSE139409
1550	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	TBR1	Cortical neurons	Organoids	Brain	32049002	Cell Rep	Synthetic Analyses of Single-Cell Transcriptomes from Multiple Brain Organoids and Fetal Brain	"SRP121791, SRP180337, SRP191528, SRP096997, SRP131980, SRP139859, SRP105219, SRP083140, SRP174405, SRP057196, GSE104276, GSE120700"
1551	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"STMN2, GAP43, DCX"	General neurons	Organoids	Brain	32049002	Cell Rep	Synthetic Analyses of Single-Cell Transcriptomes from Multiple Brain Organoids and Fetal Brain	"SRP121791, SRP180337, SRP191528, SRP096997, SRP131980, SRP139859, SRP105219, SRP083140, SRP174405, SRP057196, GSE104276, GSE120700"
1552	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"GFAP, HES1, GLUL"	Astrocytes	Organoids	Brain	32051547	Molecular Psychiatry	Glial cell diversity and methamphetamine-induced neuroinflflammation in Human cerebral organoids	NA
1553	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"NRL, RCVRN, CRX, GBN3, GNGT1, TULIP1, MAP2, DCX"	Neurons	Organoids	Brain	32051547	Molecular Psychiatry	Glial cell diversity and methamphetamine-induced neuroinflflammation in Human cerebral organoids	NA
1554	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Natural killer (NK) cells	"NKG7, CD247, CD7"	Natural killer (NK) cells	Tissue	Brain	31659342	Nat Neurosci	Stem-cell-derived human microglia transplanted in mouse brain to study human disease	GSE137444
